Person,Text
C,I expedited it to two-day shipping just to make sure that i'll be receiving the item on or before Thursday.
C,"It's a birthday present, tomorrow."
C,"Listen y'all, I paid for expedited shipping but i'm not receiving the item for three days already."
C,I need someone who can help explain this to me!
A,I understand your.
C,You know what's funny?
C,It was tracked as delivered yesterday.
C,I looked everywhere in the house.
C,It's nowhere to be found.
C,I don't know what y'all are doing.
C,What I'm certain is-this is a scam.
C,"If you can't handle this, let me just talk with the supervisor."
A,I am really sorry to hear if you haven't received your item for a special event.
A,Also if it was tracked as delivered although not yet received.
A,I do understand your frustration right now for this inconvenience but no worries.
A,Rest assured that this company isn't a scam and I can definitely help you.
C,Okay let's see.
A,"Alright, For security purposes can I have your complete name please?"
C,It's Athena Salmnher.
A,Thank you.
A,Can I also have the email address associated with your account?
C,It's athena561@yahoo.com.
A,Okay thank you.
A,How about the last four digits of the order number?
C,Okay i think it's 2341.
A,"Got it, so those were man sneaker shoes and an iPhone."
A,"One second, let me check the details for a while."
A,"Based on the information, here it was delivered and received."
A,To verify could you tell me the shipping address you wanted to ship the parcel?
C,Oh you're wasting my time!
C,"It's in Wilmington, North Carolina."
A,"Hmm, based on the record here, it seems that the parcel was delivered to the wrong address."
C,Wow! This is terrible.
C,I have to request for a refund away to be processed.
C,The worst part is they have to reorder and expedite it without assurance of having the item tomorrow.
C,Horrible!
A,"Oh, I understand where you're coming from Athena."
A,"To compensate, I can process a replacement and expedite in the same day shipping."
A,You don't have to pay for the shipment.
A,You just have to wait.
A,I'll get back to you and notify you once the package shipped out.
A,I'll be tracking the package and I will check with the carrier just to make sure that it will be delivered in the correct address and within a day.
A,Would that work for you?;
C,Oh that's very kind of you.
C,I really appreciate it.
A,No problem.
A,I've successfully processed a replacement and sent you the confirmation regarding this call as your reference.
A,Expect to receive the products within a day.
C,Oh my gosh.
C,"Wow, you're amazing!"
C,I really apologise for what I said earlier.
A,"It's okay, I understand I would feel the same way if I am in your situation."
A,Thank you for your patience by the way.
A,Anything else that I can help?
C,No No No you're doing great.
C,Everything is fine right now.
A,That's good to hear.
A,I'm glad to help you.
A,"For other concerns, feel free to visit our help pages."
A,Thank you for calling JP  International.
A,Have a nice day.
C,You as well.
C,Thank you so much.
C,Goodbye.
A,Goodbye.
A,Hi.
A,Thank you for calling home supplies.
A,This is Candice.
A,How may I help you?
C,Order number 123456.
C,Full name Amber Hill.
A,Thank You.
A,Give me one moment please so I can pull up your account.
A,"Okay, I got your order here and it was for a convection oven for 129."
A,Is this correct?
C,"Yes, correct."
C,Except that you guys sent me a cutting board
A,Oh I am so sorry.
A,That was.
C,No no no no no no. 
C,Let me finish.
C,"Don't give me your story for this inconvenience bullshit, because this is not an inconvenience Candice."
C,This is a disaster.
C,I am upset.
C,I waited one long week.
C,One long week and you guys sent me a cutting board.
C,"I mean, how would you even explain that Candice?"
C,How could you even explain that someone from your shipping department could mistake a piece of cutting board for an oven?
C,That's what i'd like to know because I can see how it's my son's birthday this Thursday and I need that oven to bake his cake.
C,It is now Monday and I have no oven but hey I guess that's okay right because I have a fucking cutting board.
A,"Amber, I truly understand how frustrating this is for you."
A,"I truly do, I do."
A,I know that our shipping department tries to their best to keep the orders as accurate as possible but on very rare occasions this kind of mistake happens from time to time.
A,And I am so sorry that this happened to you.
A,"Of course, this is not an excuse and a mistake is a mistake."
A,"And right now, what I can do is to help you resolve this issue."
C,"Well, they shouldn't have done that to me."
C,It's for my son's birthday and a cutting board for an oven?
C,"I mean, I mean I can understand if you sent me an oven with the wrong model number but a cutting board?"
C,"Seriously, I don't know about you but this smells like a practical joke to me."
A,I assure you amber what happened was an honest mistake.
A,We would never do that to our customers on purpose.
A,"Of course, you really should have received precisely what you ordered and we failed on that and for that I am truly sorry."
A,The best thing that i can do for you now is to make sure that this gets resolved as soon as possible.
C,"Well. I don't really have a choice, do I?"
C,So get on with it.
A,"Okay so if i heard you right, your son's birthday is this coming Thursday right?"
C,"Yes, that's right."
A,Alright here's what I'm gonna do.
A,"Because you received the wrong item, I will request to have the correct item sent out to you within 24 business hours."
A,"So if we send it to you today, you should receive the oven before your son's birthday on Thursday."
A,All I need from you to make that happen is the photo of the wrong item you received along with a photo of the barcode.
A,Is it possible that you could send to me while we're on the line so I could already process the reshipment for you?
C,I can send you the photo but um let me ask you this.
C,What guarantee do I have that your company is not gonna mess up again?
C,Because my purpose really for calling you guys is to just get a refund.
C,I really just want to order from amazon because they have a one-day shipping.
C,"Uh no offence Candice, but because of what you sent to me, I'm just not confident enough with your company anymore."
A,Good point Amber and I understand your doubt.
A,"But, when we encounter this kind of issue where a customer receives a damaged item or as in your case a wrong item, we always make sure to handle the matter with extra care so there will be no second mistake."
A,No chance for a second mistake happening.
A,"So, that is why aside from the 24 hour shipping, we will also do a thorough recheck of the reshipment."
A,"So, I can definitely assure you that it's going to be the correct item this time."
C,Well okay.
C,I guess I'm just gonna have to give you another shot.
C,So where do I send the photos to?
A,You can send it to support@homesupplies.com.
C,"Okay hold on, let me go get my phone because I already took a photo of the cutting board yesterday so I should have it on my phone right here."
C,Hold on.
C,"Okay, uh so that's support@homesupplies.com."
C,Okay sent.
C,Can you see it?
A,"Okay, let me check."
A,"Okay yes, I got it."
A,"Um, by the way Amber, do you also have the photo of the barcode of the cutting board?"
C,Is that really necessary?
C,I'm not lying.
A,"Yes Amber, I would need it to have your reshipment approved as soon as possible."
A,"After that, we will ship the oven to you immediately and you should receive it within 24 hours."
C,Okay let me go upstairs and take a photo.
C,Can you hold?
A,"Sure, take your time."
C,"Hello, are you there?"
C,"Yes Amber, I'm here."
C,I've sent it
C,Did you get it? 
A,Yes i got it.
A,"Um so now, I will forward the photos to the reshipment team and you should receive the oven tomorrow."
A,"About the cutting board you received, you don't have to return it."
A,Um just feel free to keep it keep it or give it away.
C,"Oh good, I totally forgot to ask you about that."
C,So thank you Candice.
C,I really don't want to drive to the post just to return that.
C,"So alright, um I guess it's all good then."
C,All settled.
A,"Yeah, yes all you have to do now is to wait for the replacement to arrive tomorrow."
A,And we will take care of everything and again we are so sorry for this mistake.
C,"Well. As long as the oven arrives tomorrow, I am happy."
C,Thank you Candice.
C,You've been very patient.
A,You're most welcome Amber.
A,Is there anything else that I can help you with today?
C,No that's all.
C,You have a great day Candice.
A,"Bye, have a great day Amber."
A,Thank you for calling home supplies.
C,Bye.
A,Hi.
A,Thank you for calling Power Up company.
A,This is Candice.
A,How may I help you?
C,Hi Candice.
C,So I'm calling because you guys overcharged me.
C,"Um my subscription to you guys is supposed to be a flat rate 30 dollar per month but for some reason, I am seeing 33 on my paper bill for the month of July so I don't know what's going on."
C,I would really appreciate an explanation on this.
A,"Sure, I'll be happy to pull up your account now and check the billing details for you."
A,Can I have your account number together with your first and last name?
C,"Sure, it's 12345 and my full name is John Williams."
A,Thank you John.
A,Just give me a few seconds to pull up your account.
A,"It was for the month of July this year, right?"
C,July 2020.
C,That's right.
A,Okay let me see that.
A,"Okay, I have your account pulled up now and I'm only seeing a 30 charge for the month of July this year."
A,Could you recheck your bill and review the amount?
C,"No, that can't be right."
C,I am literally holding my bill right now and it says July.
C,And it says 33 dollars in big bold letters.
C,"So, maybe the charge was moved to June or August."
C,I don't know.
C,All I know is that you're overcharging me and it's written on my paper bill.
A,Yes John.
A,"I also checked your other month's charges this year from January to July 2020 and all of these months, you were only charged 30."
A,Let me just check further though your last year.
A,"Oh, although I am seeing a 33 dollar charge here but this was way back last year on July 2019."
A,Would you mind checking the year of the billing paper you're holding right now?
C,"Oh, Oh my god Candice."
C,I'm so so sorry to have wasted your time.
C,I really thought this was a recent bill.
A,"No, don't worry about it John."
A,You're fine.
C,This bill was literally on my table this morning.
C,I must have dropped it when I was throwing garbage this morning.
C,So embarrassing.
C,My bad.
A,"Oh no problem, It happens."
A,I mean it happens to all of us you know.
C,I know right.
C,"Anyway Candice, I won't waste any more of your time and thank you so much for your patience."
A,You're welcome John.
A,Is there anything else that I can help you with today?
C,Maybe no.
C,I won't waste any more of your time.
C,That's all Candice.
C,Have a good one.
A,Have a good one John.
A,Thank you for calling Power Up.
A,Bye.
C,Bye Candice.
A,Thank you for calling Coats and Gowns.
A,My name is Sam.
A,How can I help you?
C,Oh yes.
C,"Um, I bought a coat from from you guys but I need to return it because it was the wrong size and my size is not available."
C,I haven't received any email from you and I wonder if my payment is gonna get refunded.
C,It seems like it does not reflect on my account yet.
A,I do apologize for the inconvenience but let me go ahead and check if there are some notes and order details.
A,May I ask for the original online order number?
C,"Okay, let me see."
C,"Alright, Please wait for a moment."
C,"Okay, I believe it's 01714257893."
A,Thank you.
A,"Just to verify, that's 01714257893."
C,"Yes, that's right."
A,I do apologize but the one that you provided is actually not accepting towards our database.
A,Do you actually have a number that starts with triple 0 7 or 7?
A,"Or, can I ask for your first and last name so I can manually check it in our database?"
C,Yeah. I'm not sure about a triple 0 something.
C,"In a way, it's Adam Wilson."
A,"Alright, thank you so much Wilson."
A,"This is spelled as W for whiskey, I for India, L for Lima, S for Sierra, O for Oscar, and N for November."
A,Is that correct Adam? 
C,"Alright, thank you for that information."
A,"Okay, let me just quickly look into a portal and check any notes in your order."
A,Do you still have the return tracking from the courier company when you returned the item?
C,Not sure.
C,Is it the 74391?
A,That's actually the return authorization from Coats and Gowns.
A,"When you returned the item to the courier company for shipping, this should have provided you with the return tracking."
A,Do you still have that?
A,It's actually printed in the upper right part of the receipt.
C,"Okay, I probably have to take it up okay."
C,I imagine I have it somewhere but it might take some time to look for that.
A,"Oh, I see."
A,"Anyway, I tried to search for your name and nothing is coming up."
A,Can I ask for the order under your name originally?
C,Yeah yes under my name.
C,So it's not under Andy or something.
A,It's Adam.
C,Yeah exactly.
A,Thank you.
A,Now what's the phone number that you put into order before?
C,Okay probably it's 4113450377.
